CSS Code,Institution Name,state,student.domestic,student.international,parent.noncustodial,IDOC
1001,"Adrian College, MI",MI,No,Yes,No,No
1003,Alabama A&M University,AL,No,No,No,Yes
5007,American University,DC,Yes,Yes,Yes,No
3003,Amherst College,MA,Yes,Yes,Yes,Yes
4007,Arizona State University,AZ,Yes,No,No,No
6011,Arkansas State University,AR,Yes,No,Yes,No
193,Armenian Student Assoc of Amer,RI,Yes,Yes,No,No
3075,Babson College,MA,Yes,Yes,Yes,Yes
2037,Bard College,NY,Yes,No,Yes,No
3795,Bard College at Simons Rock,MA,Yes,Yes,Yes,No
2038,Barnard College,NY,Yes,Yes,Yes,No
3076,Bates College,ME,Yes,Yes,Yes,Yes
6032,Baylor University,TX,Yes,Yes,Yes,No
1059,Beloit College,WI,Yes,Yes,Yes,No
3080,Bennington College,VT,Yes,No,Yes,No
3098,Bentley U: Mccallum Graduate,MA,Yes,No,No,No
3096,Bentley University,MA,Yes,No,Yes,No
3107,Berklee College of Music,MA,Yes,Yes,Yes,No
1064,Birmingham-Southern College,AL,No,Yes,Yes,No
3083,Boston College,MA,Yes,No,Yes,Yes
3116,Boston U: Chobanian and Avedisian Sch of Medicine,MA,Yes,No,Yes,No
3087,Boston University,MA,Yes,No,Yes,No
3089,Bowdoin College,ME,Yes,Yes,Yes,Yes
9785,Boyce College,KY,Yes,Yes,No,No
3092,Brandeis University,MA,Yes,Yes,Yes,Yes
3189,Brown University,RI,Yes,Yes,Yes,Yes
2049,Bryn Mawr College,PA,Yes,Yes,Yes,Yes
2050,Bucknell University,PA,Yes,No,Yes,Yes
29,Buttonwood Foundation,NY,Yes,No,No,No
4034,California Institute of Tech,CA,Yes,Yes,Yes,Yes
6081,Carleton College,MN,Yes,Yes,Yes,No
2074,Carnegie Mellon University,PA,Yes,No,Yes,Yes
520,Caroline E. Hill Scholar Fund,MA,Yes,Yes,Yes,No
1104,Case Western Reserve U: MED,OH,Yes,No,Yes,No
1105,Case Western Reserve University,OH,Yes,Yes,Yes,No
5691,"Christendom College, VA",VA,Yes,Yes,No,No
4054,Claremont McKenna College,CA,Yes,Yes,Yes,Yes
3279,Clark University,MA,Yes,Yes,No,No
1124,Cleveland Institute of Music,OH,Yes,Yes,No,No
3280,Colby College,ME,Yes,Yes,Yes,Yes
