"FUND_CODE","FUND_NAME","ITEM_TYPE","SOURCE_DESCRIPTION","CATEGORY","src.cat"
"PELL","Federal Pell Grant","650000000000","Federal","Gift Aid","Federal_GiftAid"
"FSEOG","Federal Supplemental Opportunity Grant (FSEOG)","650005000000","Federal","Gift Aid","Federal_GiftAid"
"TEACH","Federal Teacher Education Assistance for College and Higher Education Grant (TEACH)","650010000000","Federal","Gift Aid","Federal_GiftAid"
"IASG","Iraq and Afghanistan Servicemembers Grant (IASG)","650015000000","Federal","Gift Aid","Federal_GiftAid"
"TRIO","TRIO Grant","650055000020","Federal","Gift Aid","Federal_GiftAid"
"SFLI","Spartan FLI","650055000021","Federal","Gift Aid","Federal_GiftAid"
"7055L","FED Fee/NSF/GPOP/Fellow","650055000030","Federal","Gift Aid","Federal_GiftAid"
"7450C","UnvsFel/GOF/Tuit","650055000033","MSU","Gift Aid","MSU_GiftAid"
"7455","CoEd/CnsEdPsyTuit/Fell","650055000040","MSU","Gift Aid","MSU_GiftAid"
"7N53L","GreatLakeTuit/Fel","650055000051","MSU","Gift Aid","MSU_GiftAid"
"7E78L","CANR/AgFood/Fell","650055000058","MSU","Gift Aid","MSU_GiftAid"
"7F20L","CoEn/ChemEngMaterials/Fe","650055000810","MSU","Gift Aid","MSU_GiftAid"
"7F21L","ColNatSci/Chem/Fell","650055000812","MSU","Gift Aid","MSU_GiftAid"
"7C45L","CSS/PsychTuit/Fell","650055000813","MSU","Gift Aid","MSU_GiftAid"
"7R69L","CNS/ResearchSupport/Fell","650055000814","MSU","Gift Aid","MSU_GiftAid"
"7F41L","AsProv/UniOutandEng/Fell","650055000815","MSU","Gift Aid","MSU_GiftAid"
"7F44L","CoE/MechEngin/Fell","650055000816","MSU","Gift Aid","MSU_GiftAid"
"7F45L","CNS/Chemistry/Fell","650055000817","MSU","Gift Aid","MSU_GiftAid"
"7C43L","CSS/Psych/Fell","650055000818","MSU","Gift Aid","MSU_GiftAid"
"7F42L","COE/Education/Fell","650055000819","MSU","Gift Aid","MSU_GiftAid"
