slate.original,slate.new,type
Person EmplID,EmplID,character
Slate ID,SLATE.ID,character
First Name,name.first,character
Last Name,name.last,character
Major,major,character
College,college,character
App,applied.TF,character
Admit,admitted.TF,character
Non-Canc Admit,admit.nonCancel.TF,character
Deposit,deposit.TF,character
Non-Canc Deposit,deposit.nonCancel.TF,character
Residency,residency.TYPE,character
Cancelled,cancelled.TF,character
Application Submitted Date...14,applied.DATE,date
Application Created Date...15,app.DATE,date
App Fee Paid/Waived Date,app.feePaid.DATE,date
Admit Date,admit.DATE,date
Deposit Date,deposit.DATE,date
Deposit Week,deposit.WEEK,integer
Cancel Date,cancelled.DATE,date
Cancel Week,cancelled.WEEK,integer
App Fee Type,app.feePaid.TYPE,character
AED Deposit Type,deposit.TYPE,character
First ADMT Reason,admit.TYPE,character
High School Code,hs.CEEB,character
High School Name,hs.NAME,character
app_hs_gpa,hs.GPA,numeric
app_calculated_gpa,MSUcalc.GPA,numeric
College School Code,transCollege.CODE,character
College School Name,transCollege.NAME,character
Application Reference ID,app.ID,character
Application Submitted Date...32,app.submit.DATE,date
Application Created Date...33,app.create.DATE,date
Application Updated Date,app.update.DATE,date
Application app_a_levels,a.LEVELS,integer
Application app_academic_index...36,hs.Academic.IDX,integer
Address by Rank Overall City,address.OVERALL.city,character
Address by Rank Overall County,address.OVERALL.county,character
Address by Rank Overall Region,StateRegion,character
Address by Rank Overall Country,address.OVERALL.country,character
Application app_academic_index...41,col.42.DUP,integer
Application app_academic_index_group...42,hs.Academic.IDX.GRP,integer
Application app_academic_index_group_2...43,hs.Academic.IDX.GRP2,integer
Application app_academic_index_group...44,col.44.DUP,integer
Application app_academic_index_group_2...45,col.45.DUP,integer
Application app_academic_rigor_fy_dom...46,hs.Academic.dom.RIGOR,character
Application app_academic_rigor_fy_intl...47,OoA.intl.RIGOR,character
Application app_academic_scholars_accept,AcadScholars.accept.TF,integer
Application app_academic_scholars_invite,AcadScholars.invite.TF,integer
Application app_academic_success_fy_dom...50,hs.Academic.dom.SUCCESS,character
Application app_academic_success_fy_intl...51,hs.Academic.intl.SUCCESS,character
Application app_accept_deadline,all.NA.01.DROP,character
Application app_additional_info,app.additional.INFO,character
Application app_adjusted_hs_gpa,hs.adjGPA,numeric
Application app_admit_in_sis,all.NA.02.DROP,character
Application app_admit_to_major,major.ADMIT.TF,logical
Application app_ads_course,ADS.course,character
Application app_ads_percentage,ADS.pct,integer
Application app_ads_remarks,all.NA.03.DROP,character
Application app_ads_total_points,ADS.points.tot,integer
Application app_advanced_placement,APcourse.SCORE,integer
Application app_agent,agent.TF,integer
Application app_agent_auth,all.NA.04.DROP,character
Application app_air_force_rotc,rotc.AF.TF,integer
Application app_allow_deposit,deposit.ALLOW.TF,integer
Application app_allow_deposit_comments,deposit.COMMENTS,character
Application app_allow_deposit_until_date,deposit.until.DATE,date
Application app_allow_late_application,app.allow.late.TF,integer
Application app_allow_late_application_term,app.allow.late.term,character
Application app_appeal_allowed,appeal.allow.TF,integer
Application app_appeal_approval_date,appeal.approve.DATE,date
Application app_application_source,all.NA.05.DROP,character
Application app_army_rotc,rotc.ARMY.TF,integer
Application app_asq_FS22_link,app.URL.ASQ.fs22.DROP,character
Application app_at_how_learn_about_msu_other,all.NA.06.DROP,character
Application app_bisk_payment_status,all.NA.07.DROP,character
Application app_committe_review,app.comm.rev.TF,integer
Application app_composite_gpa,app.comp.GPA.TF,integer
Application app_covid_impact,covid.STATEMENT,character
Application app_credit_eval_bin,all.NA.08.DROP,character
Application app_current_major_number,major.curr.num.TF,integer
Application app_depedent_child,fam.dep.child.TF,integer
Application app_deposit_deadline,all.NA.09.DROP,character
Application app_direct_admit_accept,admit.DirAdmit.TF,integer
Application app_direct_admit_invite,DirAdmit.invite.TF,integer
Application app_direct_admit_invite_round,DirAdmit.inviteRound.TF,character
Application app_dual_enrollment,enroll.DUAL,integer
Application app_early_action,all.NA.10.DROP,character
Application app_early_middle_college,early.middle.college.TF,integer
Application app_earn_teaching_certificate,earn.teach.certificate.TF,integer
Application app_education_financed,eduFinancial.TF,integer
Application app_education_financed_sponsor,eduFinancial.SPONSOR1,character
